VIN,brand,model,trim,manufacture_year,mileage,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state,MPG
 W1KWF8DB9MR612417,Mercedes-Benz,C-Class,C 300 Sedan RWD,2021,13121, Automatic,RWD,Gas,Silver,Gray,0,3,Personaluse,41999,1, ID,29.0
 1C4RJFJM9EC395245,Jeep,Grand Cherokee,Summit 4WD,2014,103404, Automatic,4WD,Diesel,Gray,Black,0,4,Personaluse,18299,8, NJ,20.5
 JTEZU4BF5EK013919,Toyota,FJ Cruiser,RWD Automatic,2014,80830, Automatic,RWD,Gas,White,Black,0,1,Personaluse,32495,8, FL,18.0
 1G1ZD5ST0LF122383,Chevrolet,Malibu,LT,2020,45480, Automatic,FWD,Gas,White,Black,0,1,Personaluse,19994,2, CA,32.5
 1FTFW1E56JFB74611,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2018,129900, Automatic,4WD,Gas,White,Gray,0,2,Personaluse,27831,4, ID,21.5
 5YFEPRAE2LP096935,Toyota,Corolla,LE CVT,2020,21467, Automatic,FWD,Gas,White,Black,1,2,Personaluse,19300,2, ID,34.0
 1FTEW1E55JKC28614,Ford,F-150,XL SuperCrew 5.5' Box 4WD,2018,120532, Automatic,4WD,Gas,White,Gray,0,1,Personaluse,21900,4, TX,20.5
 1N4BL4BV1LC195664,Nissan,Altima,2.5 S FWD,2020,64425, Automatic,FWD,Gas,White,Black,0,1,Personaluse,21888,2, GA,33.5
 1GNSCBKC4FR140888,Chevrolet,Tahoe,LT RWD,2015,80000, Automatic,RWD,Gas,Black,Brown,1,3,Personaluse,23310,7, TX,19.5
 1FTFW1E47KKC32001,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2019,139980, Automatic,4WD,Gas,Red,Black,0,1,Personaluse,27995,3, TX,21.5
 3GNAXHEV9JL101732,Chevrolet,Equinox,LS with 1LS FWD,2018,214543, Automatic,FWD,Gas,Silver,Gray,0,1,Personaluse,11948,4, FL,29.0
 3FA6P0H76GR175389,Ford,Fusion,SE FWD,2016,196086, Automatic,FWD,Gas,Silver,Black,1,2,Personaluse,6900,6, TX,28.0
 1FT7W2B66FEC51482,Ford,Super Duty F-250,"Lariat Crew Cab 172"" 4WD",2015,80382, Automatic,4WD,Gas,Silver,Black,0,2,Personaluse,35734,7, TX,23.5
 3GNAXJEVXKS636390,Chevrolet,Equinox,LT with 2FL FWD,2019,32159, Automatic,FWD,Gas,White,Black,1,1,Personaluse,19500,3, NV,29.0
 1G1ZD5ST2LF069153,Chevrolet,Malibu,LT,2020,63832, Automatic,FWD,Gas,White,Gray,0,2,Personaluse,18000,2, CA,32.5
 1FTEW1EP6JKF29930,Ford,F-150,XL SuperCrew 5.5' Box 4WD,2018,146378, Automatic,4WD,Gas,White,Gray,1,1,Fleetuse,20995,4, TX,20.5
 1G1ZD5ST3LF092893,Chevrolet,Malibu,LT,2020,43725, Automatic,FWD,Gas,White,Black,0,2,Personaluse,19000,2, VA,32.5
 3FA6P0H70GR283989,Ford,Fusion,SE FWD,2016,107974, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,11551,6, FL,28.0
 1FTEW1E44KKD72566,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,145609, Automatic,4WD,Gas,White,Gray,0,1,Personaluse,28000,3, NM,20.5
 1FADP3FE4FL379745,Ford,Focus,SE Sedan,2015,64000, Manual,FWD,Gas,White,Black,1,3,Fleetuse,7990,7, TX,31.0
 1G1ZD5ST8LF011564,Chevrolet,Malibu,LT,2020,73364, Automatic,FWD,Gas,Silver,Black,0,2,Personaluse,19798,2, FL,32.5
 1FTEW1E87HKD75473,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2017,216301, Automatic,4WD,Gas,White,Gray,0,2,Personaluse,16990,5, CO,20.0
 1G1ZD5ST9LF029779,Chevrolet,Malibu,LT,2020,56106, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,20697,2, TX,32.5
 1FTEW1E5XJFA09401,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,51273, Automatic,4WD,Gas,White,Gray,0,1,Personaluse,30683,4, TX,20.5
 1GCNCPEH1FZ418320,Chevrolet,Silverado 1500,WT Regular Cab Long Box 2WD,2015,178542, Automatic,RWD,Gas,White,Gray,1,1,Personaluse,10900,7, FL,21.0
 1C3CCCAB1FN680044,Chrysler,200,Limited FWD,2015,119941, Automatic,FWD,Gas,Red,Black,0,4,Personaluse,9995,7, TX,29.5
 1N4BL4BV6LC215388,Nissan,Altima,2.5 S FWD,2020,65712, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,21888,2, GA,33.5
 1N4AL3AP8FN354763,Nissan,Altima,2.5 S,2015,158476, Automatic,FWD,Gas,Gray,Gray,0,3,Personaluse,7995,7, FL,32.5
 1GCVKSEC1FZ317000,Chevrolet,Silverado 1500,LTZ Z71 Double Cab Standard Box 4WD,2015,83433, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,25590,7, MI,19.0
 3FA6P0H74ER137155,Ford,Fusion,SE FWD,2014,175085, Automatic,FWD,Gas,Gray,Black,0,6,Fleetuse,7000,8, TX,28.0
 1FTEW1EB2KKD52122,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,86635, Automatic,4WD,Gas,Black,Black,0,1,Fleetuse,29788,3, ND,20.5
 2GNAXJEV6J6112604,Chevrolet,Equinox,LT with 1LT FWD,2018,104250, Automatic,FWD,Gas,Red,Black,2,1,Personaluse,13995,4, MI,29.0
