,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
0, W1KWF8DB9MR612417,Mercedes-Benz,['C-Class'],C 300 Sedan RWD,2021,"13,121", 23,35, Automatic, RWD,Gas,Silver,Gray,0,3, Personal use,"Clayton, ID","41,999"
1, 1C4RJFJM9EC395245,Jeep,"['Grand', 'Cherokee']",Summit 4WD,2014,"103,404", 17,24, Automatic, 4WD,Diesel,Gray,Black,0,4, Personal use,"Garfield, NJ","18,299"
2, JTEZU4BF5EK013919,Toyota,"['FJ', 'Cruiser']",RWD Automatic,2014,"80,830", 16,20, Automatic, RWD,Gas,White,Black,0,1, Personal use,"Orlando, FL","32,495"
3, 1G1ZD5ST0LF122383,Chevrolet,['Malibu'],LT,2020,"45,480", 29,36, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Roseville, CA","19,994"
4, 1FTFW1E56JFB74611,Ford,['F-150'],Lariat SuperCrew 5.5' Box 4WD,2018,"129,900", 19,24, Automatic, 4WD,Gas,White,Unknown,0,2, Personal use,"Blackfoot, ID","27,831"
5, 5YFEPRAE2LP096935,Toyota,['Corolla'],LE CVT,2020,"21,467", 30,38, Automatic, FWD,Gas,White,Black,1,2, Personal use,"Boise, ID","19,300"
6, 1FTEW1E55JKC28614,Ford,['F-150'],XL SuperCrew 5.5' Box 4WD,2018,"120,532", 18,23, Automatic, 4WD,Gas,White,Gray,0,1, Personal use,"Plano, TX","21,900"
7, 1N4BL4BV1LC195664,Nissan,['Altima'],2.5 S FWD,2020,"64,425", 28,39, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Carrollton, GA","21,888"
8, 1GNSCBKC4FR140888,Chevrolet,['Tahoe'],LT RWD,2015,"80,000", 16,23, Automatic, RWD,Gas,Black,Brown,1,3, Personal use,"Lubbock, TX","23,310"
9, 1FTFW1E47KKC32001,Ford,['F-150'],Lariat SuperCrew 5.5' Box 4WD,2019,"139,980", 19,24, Automatic, 4WD,Gas,Red,Black,0,1, Personal use,"Abilene, TX","27,995"
10, 3GNAXHEV9JL101732,Chevrolet,['Equinox'],LS with 1LS FWD,2018,"214,543", 26,32, Automatic, FWD,Gas,Silver,Gray,0,1, Personal use,"Bradenton, FL","11,948"
11, 3FA6P0H76GR175389,Ford,['Fusion'],SE FWD,2016,"196,086", 22,34, Automatic, FWD,Gas,Silver,Black,1,2, Personal use,"Sugar Land, TX","6,900"
12, 1FT7W2B66FEC51482,Ford,"['Super', 'Duty', 'F-250']","Lariat Crew Cab 172"" 4WD",2015,"80,382",n/a,n/a, Automatic, 4WD,Gas,Silver,Unknown,0,2, Personal use,"Castroville, TX","35,734"
13, 3GNAXJEVXKS636390,Chevrolet,['Equinox'],LT with 2FL FWD,2019,"32,159", 26,32, Automatic, FWD,Gas,White,Black,1,1, Personal use,"Las Vegas, NV","19,500"
14, 1G1ZD5ST2LF069153,Chevrolet,['Malibu'],LT,2020,"63,832", 29,36, Automatic, FWD,Gas,White,Gray,0,2, Personal use,"Santa Rosa, CA","18,000"
15, 1FTEW1EP6JKF29930,Ford,['F-150'],XL SuperCrew 5.5' Box 4WD,2018,"146,378", 18,23, Automatic, 4WD,Gas,White,Gray,1,1, Fleet use,"Austin, TX","20,995"
16, 1G1ZD5ST3LF092893,Chevrolet,['Malibu'],LT,2020,"43,725", 29,36, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Fredericksburg, VA","19,000"
17, 3FA6P0H70GR283989,Ford,['Fusion'],SE FWD,2016,"107,974", 22,34, Automatic, FWD,Gas,Black,Unknown,0,2, Personal use,"Dade City, FL","11,551"
18, 1FTEW1E44KKD72566,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2019,"145,609", 18,23, Automatic, 4WD,Gas,White,Gray,0,1, Personal use,"Albuquerque, NM","28,000"
19, 1FADP3FE4FL379745,Ford,['Focus'],SE Sedan,2015,"64,000", 26,36, Manual, FWD,Gas,White,Black,1,3, Fleet use,"Plano, TX","7,990"
20, 1G1ZD5ST8LF011564,Chevrolet,['Malibu'],LT,2020,"73,364", 29,36, Automatic, FWD,Gas,Silver,Black,0,2, Personal use,"Sebring, FL","19,798"
21, 1FTEW1E87HKD75473,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2017,"216,301", 17,23, Automatic, 4WD,Gas,White,Gray,0,2, Personal use,"Colorado Springs, CO","16,990"
22, 1G1ZD5ST9LF029779,Chevrolet,['Malibu'],LT,2020,"56,106", 29,36, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"Dallas, TX","20,697"
23, 1FTEW1E5XJFA09401,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2018,"51,273", 18,23, Automatic, 4WD,Gas,White,Gray,0,1, Personal use,"Pasadena, TX","30,683"
24, 1GCNCPEH1FZ418320,Chevrolet,"['Silverado', '1500']",WT Regular Cab Long Box 2WD,2015,"178,542", 18,24, Automatic, RWD,Gas,White,Gray,1,1, Personal use,"Sanford, FL","10,900"
25, 1C3CCCAB1FN680044,Chrysler,['200'],Limited FWD,2015,"119,941", 23,36, Automatic, FWD,Gas,Red,Black,0,4, Personal use,"Belton, TX","9,995"
